date,home_team,away_team,home_score,away_score,tournament,country,neutral,shootout_winner,first_shooter,match_outcome,home_elo_pre,away_elo_pre
1887-03-19,England,Scotland,2.0,3.0,British Home Championship,England,False,,,Away Win,1542.9785442077061,1606.1032120346736
1887-03-21,Wales,Scotland,0.0,2.0,British Home Championship,Wales,False,,,Away Win,1442.7345789835433,1617.160601963362
1888-02-04,England,Wales,5.0,1.0,British Home Championship,England,False,,,Home Win,1531.9211542790176,1434.84455607546
1888-03-03,Wales,Northern Ireland,11.0,0.0,British Home Championship,Wales,False,,,Home Win,1429.9777918847417,1408.183664774077
1888-03-10,Scotland,Wales,5.0,1.0,British Home Championship,Scotland,False,,,Home Win,1625.0506248714453,1436.6091447950255
1888-03-17,Scotland,England,0.0,5.0,British Home Championship,Scotland,False,,,Away Win,1628.2447839911497,1536.787918469736
1888-03-24,Northern Ireland,Scotland,2.0,10.0,British Home Championship,Ireland,False,,,Away Win,1401.5523118637932,1613.2316629074512
1888-04-07,Northern Ireland,England,1.0,5.0,British Home Championship,Ireland,False,,,Away Win,1394.6603868917005,1551.8010395534345
1888-09-19,Scotland,Canada,4.0,0.0,Friendly,Scotland,False,,,Home Win,1620.123587879544,1502.6298390375414
1889-02-23,England,Wales,4.0,1.0,British Home Championship,England,False,,,Home Win,1560.1710689728313,1433.414985675321
1889-03-02,England,Northern Ireland,6.0,1.0,British Home Championship,England,False,,,Home Win,1564.4365132789135,1386.2903574723036
1889-03-09,Scotland,Northern Ireland,7.0,0.0,British Home Championship,Scotland,False,,,Home Win,1622.3471383261979,1382.9339049414625
1889-04-13,England,Scotland,2.0,3.0,British Home Championship,England,False,,,Away Win,1567.7929658097546,1624.8298875956043
1889-04-15,Wales,Scotland,0.0,0.0,British Home Championship,Wales,False,,,Draw,1429.149541369239,1636.0601997800097
1889-04-27,Northern Ireland,Wales,1.0,3.0,British Home Championship,Ireland,False,,,Away Win,1380.451155672056,1432.1330979347
1890-02-08,Wales,Northern Ireland,5.0,2.0,British Home Championship,England,True,,,Home Win,1443.5149065490862,1369.0693470576698
1890-03-15,Northern Ireland,England,1.0,9.0,British Home Championship,Ireland,False,,,Away Win,1361.1798614153342,1556.5626536253492
1890-03-15,Wales,England,1.0,3.0,British Home Championship,Wales,False,,,Away Win,1451.4043921914217,1563.8842693412057
1890-03-22,Scotland,Wales,5.0,0.0,British Home Championship,Scotland,False,,,Home Win,1633.0766432145488,1441.7634375245382
1890-03-29,Northern Ireland,Scotland,1.0,4.0,British Home Championship,Ireland,False,,,Away Win,1353.8582456994777,1636.2266819398885
1890-04-05,Scotland,England,1.0,1.0,British Home Championship,Scotland,False,,,Draw,1641.4119632155807,1573.5252240080893
1891-02-07,Northern Ireland,Wales,7.0,2.0,British Home Championship,Ireland,False,,,Home Win,1348.6729644237855,1438.6133987991984
1891-03-07,England,Wales,4.0,1.0,British Home Championship,England,False,,,Home Win,1578.013386000897,1428.9028554910492
1891-03-07,England,Northern Ireland,6.0,1.0,British Home Championship,England,False,,,Home Win,1581.8629240936014,1358.3835077319347
1891-03-21,Wales,Scotland,3.0,4.0,British Home Championship,Wales,False,,,Away Win,1425.053317398345,1636.923801222773
1891-03-28,Scotland,Northern Ireland,2.0,1.0,British Home Championship,Scotland,False,,,Home Win,1643.810757228636,1355.6943318748504
1891-04-04,England,Scotland,2.0,1.0,British Home Championship,England,False,,,Home Win,1584.5520999506857,1645.7452177528905
